"ITEM","VALUE","MIN","MAX"
"CKWIFI2G","-30.00","-35.00","-20.00"
"CKWIFI2GND","-29.00","-35.00","-20.00"
"CKWIFI5G","-60.00","-65.00","-20.00"
"CheckBTP","PASS","",""
"CkMBINT","1","",""
"EMMC_SIZE","7456MB","",""
"HDMI_STAT","PASS","",""
"IMU_INT1","Pass","",""
"IMU_INT2","Pass","",""
"IMG_VER","0.0.2","",""
"MEM_SIZE","1931MB","",""
"VeriCBIOP","Pass","",""
"VeriIMU","Pass","",""
"VeriLBI2C","PASS","",""
"VeriUBI2C","PASS","",""
"VeriUSB2","Pass","",""
"BT","80:D2:1D:81:2C:3A","",""
"WIFI","80:D2:1D:81:2C:3B","",""
"WrPCBASN","PASS","",""
"RePCBASN","A1234567890","",""
"BIOS_VER","1.37.2","",""
"VeriUSB3","1","",""